Episode,SurvivalMonths,Reward
1374,122.0,7112.1538
1376,122.0,7196.1074
1378,122.0,7220.0538
1380,122.0,6966.1987
1382,122.0,7257.6543
1384,122.0,6450.1192
1386,122.0,7279.3418
1388,122.0,7131.6944
1390,122.0,7413.4675
1392,122.0,6668.9403
1394,122.0,7079.3894
1396,122.0,6792.7196
1398,122.0,7166.7254
1400,122.0,7084.7569
1402,122.0,6978.138
1404,122.0,7063.7679
1406,122.0,5587.2142
1408,122.0,7422.9683
1410,122.0,6959.8757
1412,122.0,7364.5226
1414,122.0,7340.4415
1416,122.0,7079.3917
1418,122.0,7449.0116
1420,122.0,6874.204
1422,122.0,6789.3992
1424,122.0,7233.6742
1426,122.0,7195.5141
1428,122.0,7051.4187
1430,122.0,6879.125
1432,122.0,6870.6022
1434,122.0,6355.4562
1436,122.0,6365.3055
1438,122.0,7226.3009
1440,122.0,7413.1278
1442,122.0,7186.8606
1444,122.0,6608.1052
1446,122.0,7381.1354
1448,122.0,7221.493
1450,122.0,7000.4153
1452,122.0,7336.3383
1454,122.0,6960.9678
1456,122.0,6631.4864
1458,122.0,7140.2451
1460,122.0,7272.0119
1462,122.0,7392.6198
1464,122.0,6350.0626
1466,122.0,4995.0001
1468,122.0,6761.1391
1470,122.0,6150.6532
1472,122.0,7033.3246
1474,122.0,6548.5772
1476,122.0,7090.1689
1478,122.0,6872.9677
1480,122.0,7279.4259
1482,122.0,6966.8088
1484,122.0,7286.6123
1486,122.0,6987.8159
1488,122.0,4185.2303
1490,122.0,7073.1927
1492,122.0,7384.532
1494,122.0,6143.4605
1496,122.0,6690.9566
1498,122.0,7106.3275
1500,122.0,6913.4547
1502,122.0,6389.8322
1504,122.0,7116.0245
1506,122.0,6957.6911
1508,122.0,7194.9787
1510,122.0,6969.594
1512,122.0,6909.3263
1514,122.0,7346.1657
1516,122.0,7154.7384
1518,122.0,7162.7504
1520,122.0,7123.6265
1522,122.0,7400.0394
1524,122.0,7322.189
1526,122.0,7323.2148
1528,122.0,6363.6057
1530,122.0,7175.8765
1532,122.0,7541.532
1534,122.0,7236.2233
1536,122.0,7336.1749
1538,122.0,6021.8401
1540,122.0,7293.0317
1542,122.0,7315.4429
1544,122.0,6853.5279
1546,122.0,6985.6642
1548,122.0,6832.5768
1550,122.0,6655.7003
1552,122.0,6005.8461
1554,122.0,5841.8884
1556,122.0,7438.2516
1558,122.0,7322.0466
1560,122.0,7535.6975
1562,122.0,6659.417
1564,122.0,6808.5251
1566,122.0,6817.6898
1568,122.0,7419.8746
1570,122.0,7230.8951
1572,122.0,7435.1676
1574,122.0,6418.3346
1576,122.0,7366.4327
1578,122.0,7292.8842
1580,122.0,7138.6158
1582,122.0,6635.595
1584,122.0,7258.9517
1586,122.0,7125.5294
1588,122.0,7195.8419
1590,122.0,7453.8855
