nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient101
2021-12-20 10:45:46.431414: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  3
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient101/PPO_ActionList_gym_cancer:CancerControl-v0_patient101_log_3.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient101/
save checkpoint format : patient10120211220-1045-m1-0.5-m2-12_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
============================================================================================
Updates : 90 		 SurvivalMonths : 45.5 		 Average Reward : -35.93
Updates : 92 		 SurvivalMonths : 76.0 		 Average Reward : 3433.86
Updates : 94 		 SurvivalMonths : 46.0 		 Average Reward : 74.64
Updates : 96 		 SurvivalMonths : 48.0 		 Average Reward : 583.2
Updates : 98 		 SurvivalMonths : 44.5 		 Average Reward : -572.37
Updates : 100 		 SurvivalMonths : 53.5 		 Average Reward : 849.8
Updates : 102 		 SurvivalMonths : 46.5 		 Average Reward : -672.09
Updates : 104 		 SurvivalMonths : 69.5 		 Average Reward : 2039.97
Updates : 106 		 SurvivalMonths : 47.0 		 Average Reward : -141.27
Updates : 108 		 SurvivalMonths : 59.0 		 Average Reward : 769.15
Updates : 110 		 SurvivalMonths : 52.5 		 Average Reward : 475.74
Updates : 112 		 SurvivalMonths : 49.5 		 Average Reward : 566.74
Updates : 114 		 SurvivalMonths : 52.5 		 Average Reward : -632.43
Updates : 116 		 SurvivalMonths : 47.5 		 Average Reward : -24.6
Updates : 118 		 SurvivalMonths : 47.0 		 Average Reward : 498.73
Updates : 120 		 SurvivalMonths : 56.0 		 Average Reward : 1190.85
Updates : 122 		 SurvivalMonths : 89.5 		 Average Reward : 4382.46
Updates : 124 		 SurvivalMonths : 45.0 		 Average Reward : -71.16
Updates : 126 		 SurvivalMonths : 53.5 		 Average Reward : 982.2
Updates : 128 		 SurvivalMonths : 46.0 		 Average Reward : -318.32
Updates : 130 		 SurvivalMonths : 46.5 		 Average Reward : -260.64
Updates : 132 		 SurvivalMonths : 45.0 		 Average Reward : 532.77
Updates : 134 		 SurvivalMonths : 44.5 		 Average Reward : 159.36
Updates : 136 		 SurvivalMonths : 41.0 		 Average Reward : 153.87
Updates : 138 		 SurvivalMonths : 59.0 		 Average Reward : 765.01
Updates : 140 		 SurvivalMonths : 48.0 		 Average Reward : -43.42
Updates : 142 		 SurvivalMonths : 48.0 		 Average Reward : 711.21
Updates : 144 		 SurvivalMonths : 45.0 		 Average Reward : -852.03
